channel,success_ratio,protocol,seed,class,alpha_x100,beta_x100
lossy,0.85,RPL_MQOS,20260505,2,30.816,69.184
lossy,0.85,RPL_MQOS,20260505,3,35.645,64.355
lossy,0.85,RPL_AER,20260505,0,10.78,89.22
lossy,0.85,RPL_AER,20260505,1,20.836,79.164
lossy,0.85,RPL_AER,20260505,2,30.823,69.177
lossy,0.85,RPL_AER,20260505,3,35.647,64.353
lossy,0.85,AER_MQOS,20260505,0,10.73,89.27
lossy,0.85,AER_MQOS,20260505,1,20.789,79.211
lossy,0.85,AER_MQOS,20260505,2,30.746,69.254
lossy,0.85,AER_MQOS,20260505,3,35.605,64.395
lossy,0.85,RPL_STANDARD,20260506,0,10.911,89.089
lossy,0.85,RPL_STANDARD,20260506,1,20.758,79.242
lossy,0.85,RPL_STANDARD,20260506,2,30.75,69.25
lossy,0.85,RPL_STANDARD,20260506,3,35.616,64.384
lossy,0.85,RPL_MQOS,20260506,0,10.9,89.1
lossy,0.85,RPL_MQOS,20260506,1,20.75,79.25
lossy,0.85,RPL_MQOS,20260506,2,30.73,69.27
lossy,0.85,RPL_MQOS,20260506,3,35.618,64.382
lossy,0.85,RPL_AER,20260506,0,10.893,89.107
lossy,0.85,RPL_AER,20260506,1,20.745,79.255
lossy,0.85,RPL_AER,20260506,2,30.718,69.282
lossy,0.85,RPL_AER,20260506,3,35.615,64.385
lossy,0.85,AER_MQOS,20260506,0,10.893,89.107
lossy,0.85,AER_MQOS,20260506,1,20.748,79.252
lossy,0.85,AER_MQOS,20260506,2,30.72,69.28
lossy,0.85,AER_MQOS,20260506,3,35.615,64.385
lossy,0.85,RPL_STANDARD,20260507,0,10.9,89.1
lossy,0.85,RPL_STANDARD,20260507,1,20.818,79.182
lossy,0.85,RPL_STANDARD,20260507,2,30.731,69.269
lossy,0.85,RPL_STANDARD,20260507,3,35.579,64.421
lossy,0.85,RPL_MQOS,20260507,0,10.9,89.1
lossy,0.85,RPL_MQOS,20260507,1,20.818,79.182
lossy,0.85,RPL_MQOS,20260507,2,30.731,69.269
lossy,0.85,RPL_MQOS,20260507,3,35.579,64.421
lossy,0.85,RPL_AER,20260507,0,10.9,89.1
lossy,0.85,RPL_AER,20260507,1,20.818,79.182
lossy,0.85,RPL_AER,20260507,2,30.731,69.269
lossy,0.85,RPL_AER,20260507,3,35.579,64.421
lossy,0.85,AER_MQOS,20260507,0,10.923,89.077
lossy,0.85,AER_MQOS,20260507,1,20.827,79.173
lossy,0.85,AER_MQOS,20260507,2,30.743,69.257
lossy,0.85,AER_MQOS,20260507,3,35.579,64.421
lossy,0.85,RPL_STANDARD,20260508,0,10.763,89.237
lossy,0.85,RPL_STANDARD,20260508,1,20.652,79.348
lossy,0.85,RPL_STANDARD,20260508,2,30.696,69.304
lossy,0.85,RPL_STANDARD,20260508,3,35.647,64.353
lossy,0.85,RPL_MQOS,20260508,0,10.763,89.237
lossy,0.85,RPL_MQOS,20260508,1,20.652,79.348
lossy,0.85,RPL_MQOS,20260508,2,30.696,69.304
lossy,0.85,RPL_MQOS,20260508,3,35.647,64.353
lossy,0.85,RPL_AER,20260508,0,10.763,89.237
lossy,0.85,RPL_AER,20260508,1,20.652,79.348
lossy,0.85,RPL_AER,20260508,2,30.696,69.304
lossy,0.85,RPL_AER,20260508,3,35.647,64.353
lossy,0.85,AER_MQOS,20260508,0,10.763,89.237
lossy,0.85,AER_MQOS,20260508,1,20.652,79.348
lossy,0.85,AER_MQOS,20260508,2,30.696,69.304
lossy,0.85,AER_MQOS,20260508,3,35.647,64.353
lossy,0.85,RPL_STANDARD,20260512,0,11.004,88.996
lossy,0.85,RPL_STANDARD,20260512,1,20.784,79.216
lossy,0.85,RPL_STANDARD,20260512,2,30.752,69.248
lossy,0.85,RPL_STANDARD,20260512,3,35.603,64.397
lossy,0.85,RPL_MQOS,20260512,0,11.007,88.993
lossy,0.85,RPL_MQOS,20260512,1,20.827,79.173
lossy,0.85,RPL_MQOS,20260512,2,30.748,69.252
lossy,0.85,RPL_MQOS,20260512,3,35.591,64.409
lossy,0.85,RPL_AER,20260512,0,11.015,88.985
lossy,0.85,RPL_AER,20260512,1,20.798,79.202
lossy,0.85,RPL_AER,20260512,2,30.761,69.239
lossy,0.85,RPL_AER,20260512,3,35.611,64.389
lossy,0.85,AER_MQOS,20260512,0,10.985,89.015
lossy,0.85,AER_MQOS,20260512,1,20.763,79.237
lossy,0.85,AER_MQOS,20260512,2,30.726,69.274
lossy,0.85,AER_MQOS,20260512,3,35.584,64.416
