channel,success_ratio,protocol,seed,class,jitter_ms_mean
lossless,1.0,RPL_MQOS,20260506,3,4019.904
lossless,1.0,RPL_AER,20260506,0,6862.992
lossless,1.0,RPL_AER,20260506,1,5813.199
lossless,1.0,RPL_AER,20260506,2,4706.936
lossless,1.0,RPL_AER,20260506,3,4019.904
lossless,1.0,AER_MQOS,20260506,0,6862.701
lossless,1.0,AER_MQOS,20260506,1,5814.189
lossless,1.0,AER_MQOS,20260506,2,4707.587
lossless,1.0,AER_MQOS,20260506,3,4019.888
lossless,1.0,RPL_STANDARD,20260507,0,8657.447
lossless,1.0,RPL_STANDARD,20260507,1,6384.792
lossless,1.0,RPL_STANDARD,20260507,2,5701.302
lossless,1.0,RPL_STANDARD,20260507,3,5690.732
lossless,1.0,RPL_MQOS,20260507,0,8658.085
lossless,1.0,RPL_MQOS,20260507,1,6384.686
lossless,1.0,RPL_MQOS,20260507,2,5701.282
lossless,1.0,RPL_MQOS,20260507,3,5690.752
lossless,1.0,RPL_AER,20260507,0,8657.784
lossless,1.0,RPL_AER,20260507,1,6384.682
lossless,1.0,RPL_AER,20260507,2,5701.12
lossless,1.0,RPL_AER,20260507,3,5690.7
lossless,1.0,AER_MQOS,20260507,0,8657.889
lossless,1.0,AER_MQOS,20260507,1,6384.745
lossless,1.0,AER_MQOS,20260507,2,5701.481
lossless,1.0,AER_MQOS,20260507,3,5690.784
lossless,1.0,RPL_STANDARD,20260508,0,14721.872
lossless,1.0,RPL_STANDARD,20260508,1,12767.518
lossless,1.0,RPL_STANDARD,20260508,2,9097.124
lossless,1.0,RPL_STANDARD,20260508,3,6369.343
lossless,1.0,RPL_MQOS,20260508,0,14721.812
lossless,1.0,RPL_MQOS,20260508,1,12767.672
lossless,1.0,RPL_MQOS,20260508,2,9097.124
lossless,1.0,RPL_MQOS,20260508,3,6369.343
lossless,1.0,RPL_AER,20260508,0,14721.872
lossless,1.0,RPL_AER,20260508,1,12767.518
lossless,1.0,RPL_AER,20260508,2,9097.124
lossless,1.0,RPL_AER,20260508,3,6369.343
lossless,1.0,AER_MQOS,20260508,0,14721.812
lossless,1.0,AER_MQOS,20260508,1,12767.672
lossless,1.0,AER_MQOS,20260508,2,9097.124
lossless,1.0,AER_MQOS,20260508,3,6369.343
lossless,1.0,RPL_STANDARD,20260512,0,6310.758
lossless,1.0,RPL_STANDARD,20260512,1,5950.551
lossless,1.0,RPL_STANDARD,20260512,2,4732.612
lossless,1.0,RPL_STANDARD,20260512,3,4607.321
lossless,1.0,RPL_MQOS,20260512,0,6310.557
lossless,1.0,RPL_MQOS,20260512,1,5950.551
lossless,1.0,RPL_MQOS,20260512,2,4732.722
lossless,1.0,RPL_MQOS,20260512,3,4607.238
lossless,1.0,RPL_AER,20260512,0,6310.557
lossless,1.0,RPL_AER,20260512,1,5950.551
lossless,1.0,RPL_AER,20260512,2,4732.722
lossless,1.0,RPL_AER,20260512,3,4607.219
lossless,1.0,AER_MQOS,20260512,0,6310.557
lossless,1.0,AER_MQOS,20260512,1,5950.551
lossless,1.0,AER_MQOS,20260512,2,4732.722
lossless,1.0,AER_MQOS,20260512,3,4607.238
lossy,0.85,RPL_STANDARD,20260501,0,8527.495
lossy,0.85,RPL_STANDARD,20260501,1,7289.958
lossy,0.85,RPL_STANDARD,20260501,2,5701.081
lossy,0.85,RPL_STANDARD,20260501,3,5025.886
lossy,0.85,RPL_MQOS,20260501,0,8443.569
lossy,0.85,RPL_MQOS,20260501,1,7199.79
lossy,0.85,RPL_MQOS,20260501,2,5627.974
lossy,0.85,RPL_MQOS,20260501,3,4819.945
lossy,0.85,RPL_AER,20260501,0,8443.534
lossy,0.85,RPL_AER,20260501,1,7198.901
lossy,0.85,RPL_AER,20260501,2,5627.718
lossy,0.85,RPL_AER,20260501,3,4819.923
lossy,0.85,AER_MQOS,20260501,0,8612.93
lossy,0.85,AER_MQOS,20260501,1,7319.803
lossy,0.85,AER_MQOS,20260501,2,5775.78
lossy,0.85,AER_MQOS,20260501,3,5012.145
lossy,0.85,RPL_STANDARD,20260502,0,7938.263
lossy,0.85,RPL_STANDARD,20260502,1,6835.301
