channel,success_ratio,protocol,seed,time_min,parent_changes_cumulative,parent_switch_console
lossless,1.0,AER_MQOS,20260506,8.6804,442,0
lossless,1.0,AER_MQOS,20260506,11.1605,549,0
lossless,1.0,AER_MQOS,20260506,13.6405,672,0
lossless,1.0,AER_MQOS,20260506,16.1207,779,0
lossless,1.0,AER_MQOS,20260506,18.6008,902,0
lossless,1.0,AER_MQOS,20260506,21.0809,1009,0
lossless,1.0,AER_MQOS,20260506,23.5609,1132,0
lossless,1.0,AER_MQOS,20260506,26.041,1239,0
lossless,1.0,AER_MQOS,20260506,28.5212,1368,0
lossless,1.0,RPL_STANDARD,20260507,1.2403,72,0
lossless,1.0,RPL_STANDARD,20260507,3.721,171,0
lossless,1.0,RPL_STANDARD,20260507,6.2016,256,0
lossless,1.0,RPL_STANDARD,20260507,8.6823,355,0
lossless,1.0,RPL_STANDARD,20260507,11.163,440,0
lossless,1.0,RPL_STANDARD,20260507,13.6436,539,0
lossless,1.0,RPL_STANDARD,20260507,16.1243,624,0
lossless,1.0,RPL_STANDARD,20260507,18.6049,723,0
lossless,1.0,RPL_STANDARD,20260507,21.0856,808,0
lossless,1.0,RPL_STANDARD,20260507,23.5663,907,0
lossless,1.0,RPL_STANDARD,20260507,26.0469,992,0
lossless,1.0,RPL_STANDARD,20260507,28.5276,1095,0
lossless,1.0,RPL_MQOS,20260507,1.2403,72,0
lossless,1.0,RPL_MQOS,20260507,3.721,171,0
lossless,1.0,RPL_MQOS,20260507,6.2017,256,0
lossless,1.0,RPL_MQOS,20260507,8.6823,355,0
lossless,1.0,RPL_MQOS,20260507,11.163,440,0
lossless,1.0,RPL_MQOS,20260507,13.6437,539,0
lossless,1.0,RPL_MQOS,20260507,16.1243,624,0
lossless,1.0,RPL_MQOS,20260507,18.605,723,0
lossless,1.0,RPL_MQOS,20260507,21.0857,808,0
lossless,1.0,RPL_MQOS,20260507,23.5663,907,0
lossless,1.0,RPL_MQOS,20260507,26.047,992,0
lossless,1.0,RPL_MQOS,20260507,28.5277,1095,0
lossless,1.0,RPL_AER,20260507,1.2403,72,0
lossless,1.0,RPL_AER,20260507,3.721,171,0
lossless,1.0,RPL_AER,20260507,6.2016,256,0
lossless,1.0,RPL_AER,20260507,8.6823,355,0
lossless,1.0,RPL_AER,20260507,11.1629,440,0
lossless,1.0,RPL_AER,20260507,13.6436,539,0
lossless,1.0,RPL_AER,20260507,16.1242,624,0
lossless,1.0,RPL_AER,20260507,18.6048,723,0
lossless,1.0,RPL_AER,20260507,21.0855,808,0
lossless,1.0,RPL_AER,20260507,23.5661,907,0
lossless,1.0,RPL_AER,20260507,26.0468,992,0
lossless,1.0,RPL_AER,20260507,28.5275,1095,0
lossless,1.0,AER_MQOS,20260507,1.2403,72,0
lossless,1.0,AER_MQOS,20260507,3.721,171,0
lossless,1.0,AER_MQOS,20260507,6.2017,256,0
lossless,1.0,AER_MQOS,20260507,8.6824,355,0
lossless,1.0,AER_MQOS,20260507,11.1631,440,0
lossless,1.0,AER_MQOS,20260507,13.6438,539,0
lossless,1.0,AER_MQOS,20260507,16.1244,624,0
lossless,1.0,AER_MQOS,20260507,18.6051,723,0
lossless,1.0,AER_MQOS,20260507,21.0858,808,0
lossless,1.0,AER_MQOS,20260507,23.5665,907,0
lossless,1.0,AER_MQOS,20260507,26.0472,992,0
lossless,1.0,AER_MQOS,20260507,28.5279,1095,0
lossless,1.0,RPL_STANDARD,20260508,1.2403,55,0
lossless,1.0,RPL_STANDARD,20260508,3.721,119,0
lossless,1.0,RPL_STANDARD,20260508,6.2017,176,0
lossless,1.0,RPL_STANDARD,20260508,8.6824,240,0
lossless,1.0,RPL_STANDARD,20260508,11.1631,297,0
lossless,1.0,RPL_STANDARD,20260508,13.6437,361,0
lossless,1.0,RPL_STANDARD,20260508,16.1244,418,0
lossless,1.0,RPL_STANDARD,20260508,18.6051,482,0
lossless,1.0,RPL_STANDARD,20260508,21.0858,539,0
lossless,1.0,RPL_STANDARD,20260508,23.5664,603,0
lossless,1.0,RPL_STANDARD,20260508,26.0471,660,0
lossless,1.0,RPL_STANDARD,20260508,28.5278,728,0
lossless,1.0,RPL_MQOS,20260508,1.2403,55,0
lossless,1.0,RPL_MQOS,20260508,3.721,119,0
lossless,1.0,RPL_MQOS,20260508,6.2017,176,0
lossless,1.0,RPL_MQOS,20260508,8.6824,240,0
lossless,1.0,RPL_MQOS,20260508,11.1631,297,0
lossless,1.0,RPL_MQOS,20260508,13.6437,361,0
lossless,1.0,RPL_MQOS,20260508,16.1244,418,0
lossless,1.0,RPL_MQOS,20260508,18.6051,482,0
lossless,1.0,RPL_MQOS,20260508,21.0858,539,0
lossless,1.0,RPL_MQOS,20260508,23.5664,603,0
lossless,1.0,RPL_MQOS,20260508,26.0471,660,0
lossless,1.0,RPL_MQOS,20260508,28.5278,728,0
lossless,1.0,RPL_AER,20260508,1.2403,55,0
lossless,1.0,RPL_AER,20260508,3.721,119,0
lossless,1.0,RPL_AER,20260508,6.2017,176,0
